show_id,show_name,genre,duration,released_date,ratings
s000,Sharable,Comedy,44,2022-10-13,1.1
s001,Fullyconfigurable,Action,61,2021-04-25,1.9
s002,Synergistic,Comedy,43,2021-03-08,3.7
s003,Reverseengineered,Thriller,41,2020-09-11,3.4
s004,Crossgroup,Drama,33,2024-09-28,1.4
s005,Robust4thgen,Sci-Fi,94,2022-02-18,3.4
s006,Universal,Thriller,55,2025-01-29,3.9
s007,Operative,Comedy,99,2022-10-23,2.7
s008,Adaptive,Romance,105,2021-10-20,2.1
s009,TotalGUI,Horror,30,2022-10-22,4.0
s010,Distributed,Sci-Fi,119,2023-04-22,2.7
s011,Customerfocused,Action,49,2021-04-07,1.9
s012,Multichanneled,Horror,73,2022-09-10,1.4
s013,BalancedKB,Romance,42,2025-01-02,2.4
s014,DecentralizedAI,Action,107,2025-02-20,2.1
s015,Implemented,Drama,88,2023-07-09,3.1
s016,Reengineered,Romance,40,2021-01-13,3.2
s017,StableEmulation,Horror,110,2022-11-27,3.5
s018,Configurable,Horror,76,2023-09-05,3.3
s019,Grassroots,Comedy,38,2023-07-19,1.2
s020,HolisticDesk,Sci-Fi,67,2022-03-23,4.9
s021,Synchronized,Horror,59,2021-01-18,4.5
s022,ScalableConcept,Romance,65,2024-12-26,2.8
s023,Upgradable,Horror,76,2024-05-17,1.7
s024,Multitiered,Action,56,2025-03-07,3.7
s025,Facetoface,Comedy,117,2020-12-01,3.6
s026,Focused5thgen,Thriller,111,2023-02-16,1.7
s027,Openarchitected,Comedy,61,2022-03-28,1.7
s028,Recontextualized,Romance,64,2022-04-02,5.0
s029,Streamlined,Comedy,118,2024-05-06,3.2
s030,Digitized,Comedy,71,2022-07-17,4.4
s031,Userfriendly,Horror,37,2022-09-05,1.9
s032,OptimalInterface,Drama,70,2025-05-28,2.6
s033,HighlevelDef,Drama,57,2021-08-14,4.7
s034,ProfoundArray,Thriller,70,2020-11-04,1.9
s035,CoherentProduct,Romance,80,2021-10-21,4.5
s036,InteractivePolicy,Comedy,88,2020-12-25,1.6
s037,NetworkedPolicy,Sci-Fi,61,2024-06-04,4.0
s038,Ecocentric,Thriller,63,2020-07-16,4.0
s039,UniformBudget,Romance,104,2025-01-04,2.6
s040,Versatile,Sci-Fi,47,2023-05-03,3.0
s041,ExplicitSolution,Drama,36,2021-10-15,4.4
s042,Persevering,Sci-Fi,110,2022-09-07,1.6
s043,Profitfocused,Comedy,84,2024-10-05,3.4
s044,Responsive,Romance,78,2024-10-05,3.4
s045,DedicatedCollab,Romance,97,2023-08-16,2.0
s046,CohesiveMoratorium,Thriller,31,2024-12-14,3.7
s047,RadicalInterface,Drama,117,2024-08-07,4.5
s048,Ameliorated,Horror,64,2023-01-22,4.1
s049,AnalyzingEncoding,Action,44,2025-04-08,2.2
s050,Streamable,Comedy,45,2022-11-13,2.3
s051,Hyperlinked,Action,62,2021-05-25,2.0
s052,Automated,Comedy,44,2021-04-09,3.8
s053,Encrypted,Thriller,42,2020-10-12,3.5
s054,Intergroup,Drama,34,2024-10-29,1.5
s055,Robust5thgen,Sci-Fi,95,2022-03-19,3.5
s056,Global,Thriller,56,2025-02-29,4.0
s057,Operable,Comedy,100,2022-11-23,2.8
s058,Adaptive2,Romance,106,2021-11-20,2.2
s059,TotalUX,Horror,31,2022-11-22,4.1
s060,Distributed2,Sci-Fi,120,2023-05-22,2.8
s061,Customercentric,Action,50,2021-05-07,2.0
s062,Multichannel,Horror,74,2022-10-10,1.5
s063,BalancedKB2,Romance,43,2025-02-02,2.5
s064,DecentralizedML,Action,108,2025-03-20,2.2
s065,Implemented2,Drama,89,2023-08-09,3.2
s066,Reengineered2,Romance,41,2021-02-13,3.3
s067,StableSimulation,Horror,111,2022-12-27,3.6
s068,Configurable2,Horror,77,2023-10-05,3.4
s069,Grassroots2,Comedy,39,2023-08-19,1.3
s070,HolisticDesk2,Sci-Fi,68,2022-04-23,5.0
s071,Synchronized2,Horror,60,2021-02-18,4.6
s072,ScalableConcept2,Romance,66,2024-01-26,2.9
s073,Upgradable2,Horror,77,2024-06-17,1.8
s074,Multitiered2,Action,57,2025-04-07,3.8
s075,Facetoface2,Comedy,118,2021-01-01,3.7
s076,Focused6thgen,Thriller,112,2023-03-16,1.8
s077,Openarchitected2,Comedy,62,2022-04-28,1.8
s078,Recontextualized2,Romance,65,2022-05-02,5.0
s079,Streamlined2,Comedy,119,2024-06-06,3.3
s080,Digitized2,Comedy,72,2022-08-17,4.5
s081,Userfriendly2,Horror,38,2022-10-05,2.0
s082,OptimalInterface2,Drama,71,2025-06-28,2.7
s083,HighlevelDef2,Drama,58,2021-09-14,4.8
s084,ProfoundArray2,Thriller,71,2020-12-04,2.0
s085,CoherentProduct2,Romance,81,2021-11-21,4.6
s086,InteractivePolicy2,Comedy,89,2021-01-25,1.7
s087,NetworkedPolicy2,Sci-Fi,62,2024-07-04,4.1
s088,Ecocentric2,Thriller,64,2020-08-16,4.1
s089,UniformBudget2,Romance,105,2025-02-04,2.7
s090,Versatile2,Sci-Fi,48,2023-06-03,3.1
s091,ExplicitSolution2,Drama,37,2021-11-15,4.5
s092,Persevering2,Sci-Fi,111,2022-10-07,1.7
s093,Profitfocused2,Comedy,85,2024-11-05,3.5
s094,Responsive2,Romance,79,2024-11-05,3.5
s095,DedicatedCollab2,Romance,98,2023-09-16,2.1
s096,CohesiveMoratorium2,Thriller,32,2024-01-14,3.8
s097,RadicalInterface2,Drama,118,2024-09-07,4.6
s098,Ameliorated2,Horror,65,2023-02-22,4.2
s099,AnalyzingEncoding2,Action,45,2025-05-08,2.3
s100,Sharable2,Comedy,46,2022-12-13,2.4
s101,Fullyconfigurable2,Action,63,2021-06-25,2.1
s102,Synergistic2,Comedy,45,2021-05-08,3.9
s103,Reverseengineered2,Thriller,43,2020-10-11,3.6
s104,Crossgroup2,Drama,35,2024-11-28,1.6
s105,Robust6thgen,Sci-Fi,96,2022-04-18,3.6
s106,Universal2,Thriller,57,2025-03-29,4.1
s107,Operative2,Comedy,101,2022-12-23,2.9
s108,Adaptive3,Romance,107,2021-12-20,2.3
s109,TotalGUI2,Horror,32,2022-12-22,4.2
s110,Distributed3,Sci-Fi,121,2023-06-22,2.9
s111,Customerfocused2,Action,51,2021-06-07,2.1
s112,Multichanneled2,Horror,75,2022-11-10,1.6
s113,BalancedKB3,Romance,44,2025-03-02,2.6
s114,DecentralizedAI2,Action,109,2025-04-20,2.3
s115,Implemented3,Drama,90,2023-09-09,3.3
s116,Reengineered3,Romance,42,2021-03-13,3.4
s117,StableEmulation2,Horror,112,2022-12-27,3.7
s118,Configurable3,Horror,78,2023-11-05,3.5
s119,Grassroots3,Comedy,40,2023-09-19,1.4
s120,HolisticDesk3,Sci-Fi,69,2022-05-23,5.1
s121,Synchronized3,Horror,61,2021-03-18,4.7
s122,ScalableConcept3,Romance,67,2024-02-26,3.0
s123,Upgradable3,Horror,78,2024-07-17,1.9
s124,Multitiered3,Action,58,2025-05-07,3.9
s125,Facetoface3,Comedy,119,2021-02-01,3.8
s126,Focused7thgen,Thriller,113,2023-04-16,1.9
s127,Openarchitected3,Comedy,63,2022-05-28,1.9
s128,Recontextualized3,Romance,66,2022-06-02,5.1
s129,Streamlined3,Comedy,120,2024-07-06,3.4
s130,Digitized3,Comedy,73,2022-09-17,4.6
s131,Userfriendly3,Horror,39,2022-11-05,2.1
s132,OptimalInterface3,Drama,72,2025-07-28,2.8
s133,HighlevelDef3,Drama,59,2021-10-14,4.9
s134,ProfoundArray3,Thriller,72,2021-01-04,2.1
s135,CoherentProduct3,Romance,82,2021-12-21,4.7
s136,InteractivePolicy3,Comedy,90,2021-02-25,1.8
s137,NetworkedPolicy3,Sci-Fi,63,2024-08-04,4.2
s138,Ecocentric3,Thriller,65,2020-09-16,4.2
s139,UniformBudget3,Romance,106,2025-03-04,2.8
s140,Versatile3,Sci-Fi,49,2023-07-03,3.2
s141,ExplicitSolution3,Drama,38,2021-12-15,4.6
s142,Persevering3,Sci-Fi,112,2022-11-07,1.8
s143,Profitfocused3,Comedy,86,2024-12-05,3.6
s144,Responsive3,Romance,80,2024-12-05,3.6
s145,DedicatedCollab3,Romance,99,2023-10-16,2.2
s146,CohesiveMoratorium3,Thriller,33,2024-02-14,3.9
s147,RadicalInterface3,Drama,119,2024-10-07,4.7
s148,Ameliorated3,Horror,66,2023-03-22,4.3
s149,AnalyzingEncoding3,Action,46,2025-06-08,2.4
s150,Sharable3,Comedy,47,2023-01-13,2.5
s151,Fullyconfigurable3,Action,64,2021-07-25,2.2
s152,Synergistic3,Comedy,46,2021-06-08,4.0
s153,Reverseengineered3,Thriller,44,2020-11-11,3.7
s154,Crossgroup3,Drama,36,2024-12-28,1.7
s155,Robust7thgen,Sci-Fi,97,2022-05-18,3.7
s156,Universal3,Thriller,58,2025-04-29,4.2
s157,Operative3,Comedy,102,2023-01-23,3.0
s158,Adaptive4,Romance,108,2022-01-20,2.4
s159,TotalGUI3,Horror,33,2023-01-22,4.3
s160,Distributed4,Sci-Fi,122,2023-07-22,3.0
s161,Customerfocused3,Action,52,2021-07-07,2.2
s162,Multichanneled3,Horror,76,2022-12-10,1.7
s163,BalancedKB4,Romance,45,2025-04-02,2.7
s164,DecentralizedAI3,Action,110,2025-05-20,2.4
s165,Implemented4,Drama,91,2023-10-09,3.4
s166,Reengineered4,Romance,43,2021-04-13,3.5
s167,StableEmulation3,Horror,113,2023-01-27,3.8
s168,Configurable4,Horror,79,2023-12-05,3.6
s169,Grassroots4,Comedy,41,2023-10-19,1.5
s170,HolisticDesk4,Sci-Fi,70,2022-06-23,5.2
s171,Synchronized4,Horror,62,2021-04-18,4.8
s172,ScalableConcept4,Romance,68,2024-03-26,3.1
s173,Upgradable4,Horror,79,2024-08-17,2.0
s174,Multitiered4,Action,59,2025-06-07,4.0
s175,Facetoface4,Comedy,120,2021-03-01,3.9
s176,Focused8thgen,Thriller,114,2023-05-16,2.0
s177,Openarchitected4,Comedy,64,2022-06-28,2.0
s178,Recontextualized4,Romance,67,2022-07-02,5.2
s179,Streamlined4,Comedy,121,2024-08-06,3.5
s180,Digitized4,Comedy,74,2022-10-17,4.7
s181,Userfriendly4,Horror,40,2022-12-05,2.2
s182,OptimalInterface4,Drama,73,2025-08-28,2.9
s183,HighlevelDef4,Drama,60,2021-11-14,5.0
s184,ProfoundArray4,Thriller,73,2021-02-04,2.2
s185,CoherentProduct4,Romance,83,2022-01-21,4.8
s186,InteractivePolicy4,Comedy,91,2021-03-25,1.9
s187,NetworkedPolicy4,Sci-Fi,64,2024-09-04,4.3
s188,Ecocentric4,Thriller,66,2020-10-16,4.3
s189,UniformBudget4,Romance,107,2025-04-04,2.9
s190,Versatile4,Sci-Fi,50,2023-08-03,3.3
s191,ExplicitSolution4,Drama,39,2022-01-15,4.7
s192,Persevering4,Sci-Fi,113,2022-12-07,1.9
s193,Profitfocused4,Comedy,87,2025-01-05,3.7
s194,Responsive4,Romance,81,2025-01-05,3.7
s195,DedicatedCollab4,Romance,100,2023-11-16,2.3
s196,CohesiveMoratorium4,Thriller,34,2024-03-14,4.0
s197,RadicalInterface4,Drama,120,2024-11-07,4.8
s198,Ameliorated4,Horror,67,2023-04-22,4.4
s199,AnalyzingEncoding4,Action,47,2025-07-08,2.5
