user_id,login_time,logout_time,content_watched,genres_watched,total_watch_time,num_pauses,buffer_events,was_recommended
u000,2025-05-21T18:53:00,2025-05-21T19:02:00,"['s006', 's004', 's039', 's043', 's014']","['Comedy', 'Drama', 'Horror']",9,1,1,True
u000,2025-06-09T12:28:00,2025-06-09T12:49:00,"['s012', 's008', 's045', 's017', 's019']","['Comedy', 'Drama']",15,0,2,False
u000,2025-05-25T13:53:00,2025-05-25T15:36:00,"['s017', 's011', 's005']","['Horror', 'Drama']",97,2,1,True
u000,2025-05-28T03:20:00,2025-05-28T03:32:00,"['s012', 's029', 's005']","['Sci-Fi', 'Thriller']",8,0,4,True
u000,2025-06-11T09:02:00,2025-06-11T10:09:00,"['s035', 's028']",['Thriller'],66,0,2,False
u000,2025-06-02T02:19:00,2025-06-02T03:55:00,['s003'],['Drama'],92,3,2,False
u000,2025-05-24T09:43:00,2025-05-24T11:27:00,['s032'],['Comedy'],97,1,1,False
u000,2025-05-14T17:19:00,2025-05-14T18:49:00,"['s010', 's045', 's022']","['Thriller', 'Drama']",84,1,1,False
u000,2025-06-04T07:57:00,2025-06-04T09:03:00,"['s047', 's005', 's035', 's015']",['Romance'],60,1,1,False
u000,2025-06-03T22:32:00,2025-06-03T22:52:00,"['s023', 's022', 's044', 's020', 's026']",['Comedy'],11,0,3,False
u000,2025-06-11T10:46:00,2025-06-11T11:02:00,"['s022', 's006', 's030', 's049', 's019']","['Sci-Fi', 'Horror', 'Thriller']",11,1,0,True
u000,2025-05-30T11:36:00,2025-05-30T13:05:00,"['s045', 's025', 's007']","['Comedy', 'Action', 'Romance']",86,3,1,True
u000,2025-06-10T19:10:00,2025-06-10T20:11:00,"['s003', 's013']",['Comedy'],58,2,1,False
u001,2025-06-04T06:22:00,2025-06-04T07:16:00,"['s042', 's020', 's032', 's035', 's029']",['Drama'],53,2,1,True
u001,2025-05-28T08:52:00,2025-05-28T10:37:00,"['s008', 's014', 's042', 's043']","['Romance', 'Comedy', 'Thriller']",105,2,3,True
u001,2025-06-08T08:48:00,2025-06-08T09:22:00,['s048'],['Romance'],33,1,1,False
u001,2025-06-03T10:41:00,2025-06-03T12:05:00,"['s045', 's042']",['Drama'],84,0,0,True
u001,2025-05-15T06:34:00,2025-05-15T08:34:00,['s030'],"['Sci-Fi', 'Thriller', 'Drama']",116,2,0,False
u001,2025-05-17T20:08:00,2025-05-17T20:27:00,"['s040', 's015', 's005', 's013', 's028']","['Horror', 'Comedy']",12,1,0,False
u001,2025-05-27T18:09:00,2025-05-27T18:29:00,"['s035', 's009', 's021', 's014', 's049']",['Thriller'],10,0,2,True
u001,2025-05-15T21:03:00,2025-05-15T21:23:00,"['s049', 's027']",['Comedy'],16,3,1,True
u001,2025-05-20T12:13:00,2025-05-20T13:14:00,"['s003', 's009', 's007', 's041', 's040']","['Horror', 'Sci-Fi']",58,0,2,True
u001,2025-06-04T03:53:00,2025-06-04T04:08:00,['s012'],['Comedy'],15,2,5,False
u001,2025-05-25T21:54:00,2025-05-25T22:52:00,"['s014', 's010']","['Action', 'Thriller', 'Romance']",51,1,2,True
u001,2025-05-20T22:39:00,2025-05-21T00:02:00,"['s012', 's046', 's032', 's040', 's006']","['Horror', 'Action', 'Comedy']",83,2,1,True
u002,2025-05-23T17:22:00,2025-05-23T17:51:00,"['s007', 's040', 's024', 's049', 's035']","['Sci-Fi', 'Romance', 'Horror']",28,2,2,True
u002,2025-05-21T19:35:00,2025-05-21T19:54:00,"['s032', 's012', 's011', 's043']",['Drama'],17,0,0,False
u002,2025-05-25T23:21:00,2025-05-25T23:52:00,"['s022', 's040', 's049']","['Drama', 'Horror']",25,3,1,False
u002,2025-06-06T10:56:00,2025-06-06T11:23:00,['s032'],"['Drama', 'Horror', 'Sci-Fi']",25,2,1,False
u002,2025-06-08T23:23:00,2025-06-09T00:42:00,"['s013', 's048', 's044', 's021']",['Horror'],74,2,0,True
u002,2025-05-23T08:47:00,2025-05-23T09:04:00,"['s013', 's025', 's015', 's005']","['Thriller', 'Romance']",14,0,1,True
u002,2025-06-01T20:04:00,2025-06-01T20:27:00,"['s030', 's012', 's025', 's024', 's009']","['Comedy', 'Sci-Fi']",20,2,0,False
u002,2025-05-25T06:34:00,2025-05-25T07:04:00,"['s003', 's045']","['Drama', 'Action', 'Sci-Fi']",25,5,2,True
u002,2025-06-03T04:29:00,2025-06-03T05:32:00,"['s049', 's022']",['Action'],57,1,0,False
u002,2025-06-11T00:51:00,2025-06-11T02:14:00,"['s036', 's015', 's006', 's027', 's034']","['Horror', 'Sci-Fi']",81,2,2,False
u002,2025-06-03T01:27:00,2025-06-03T02:07:00,"['s048', 's016', 's021', 's028']","['Sci-Fi', 'Thriller', 'Horror']",40,1,2,False
u002,2025-05-13T05:32:00,2025-05-13T06:30:00,['s031'],"['Horror', 'Thriller', 'Drama']",58,0,0,True
